행정표준용어현황,,,,,,,,
NO,구분,용어명,용어영문명,영문약어명,정의,주제영역,등록일,상태
2068,표준어,구강,ORAL CAVITY,ORCVT,"口腔
 입에서 목구멍에 이르는 입 안의 빈 곳. 음식물을 섭취˙소화하며, 발음 기관의 일부분이 된다.
",공공보건의료 확충,2006-11-27,사용중
2069,표준어,구강보건사업,DENTAL HEALTH BUSINESS,DTLTB,"口腔保健事業
 [법률정의] (구강보건법) 구강질환의 예방?진단, ?구강건강에 관한 교육?관리등을 행함으로써 구강건강을 유지?증진시키는 사업.
",공공보건의료 확충,2006-11-17,사용중
2070,표준어,구강보건용품,ORAL HEALTH ARTICLES,ORLCS,"口腔保健用品
 [법률정의] (구강보건법) 구강질환의 예방 등의 목적으로 제조된 용품으로서 보건복지부장관이 정하는 것.
",공공보건의료 확충,2006-11-17,사용중
2071,표준어,구경,CALIBER,CALBR,"1.원통 모양으로 된 물건의 아가리의 지름. 2.렌즈나 거울 따위의 유효 지름.

",전자정부,2010-02-22,사용중
2072,표준어,구군,GU GUN,GU GUN,"區郡
 지역의 구분 단위인 구와 군.
",지방행정,2006-11-17,사용중
2073,표준어,구금,CONFINEMENT,CNFNM,"拘禁
 피고인 또는 피의자를 구치소나 교도소 따위에 가두어 신체의 자유를 구속하는 강제 처분.
",교정활동,2006-11-17,사용중
2074,표준어,구금보호시설,DETENTION AND CUSTODY FACILITIES,DSDCL,"拘禁保護施設
 [법률정의] (국가인권위원회법) 다음 각목에 해당하는 시설. 가. 교도소?소년교도소?구치소 및 그 지소, 보호감호소, 치료감호시설, 소년원 및 소년분류심사원 나. 경찰서 유치장 및 사법경찰관리가 그 직무수행을 위하여 사람을 조사?유치 또는 수용하는 데 사용하는 시설 다. 군교도소(지소?미결수용실 및 헌병대영창을 포함한다) 라. 외국인보호소 마. 다수인보호시설
",교정활동,2006-11-17,사용중
2075,표준어,구급,RELIEF,RELIF,"救急
 위급한 상황에서 구하여 냄.
",재난상황 관리,2006-11-27,사용중
2076,표준어,구급차,AMBULANCE,AMBLNC,"救急車
 위급한 환자나 부상자를 신속하게 병원으로 실어 나르는 자동차
[법률정의] (구조대 및 구급대의 편성?운영 등에 관한 규칙) 응급의료에 관한 법률 시행규칙 제38조제1항의 규정에 의한 특수구급차 및 일반구급차.
",보건의료서비스 지원,2006-11-17,사용중
2077,표준어,구난,RESCUE,RESCU,"救難
 재난을 구제함
[법률정의] (수난구호법) 조난을 당한 선박 또는 그 밖의 다른 재산(선박에 실린 화물을 포함한다)에 관한 원조를 위하여 행하여진 행위 또는 활동.
",해상 경비,2006-11-17,사용중
2078,표준어,구내,PREMISES,PREMIS,"構內
 큰 건물이나 시설 또는 부지(敷地)의 안.
",재난상황 관리,2006-11-17,사용중
2079,표준어,구내배전설비,INTERNAL POWER DISTRIBUTION FACILITIES,IDLS,"構內配電設備
 [법률정의] (전기사업법 시행규칙) 수전설비의 배전반 이후에서부터 전기사용기기에 이르는 전선로?개폐기?차단기?분전함?콘센트?제어반?스위치 그 밖의 부속설비.
",전력산업경쟁력강화 및 전력수급안정,2006-11-17,사용중
2080,표준어,구내외,INSIDE OR OUTSIDE PREMISES,IDPS,"構內外
 어떤 건물의 안 혹은 밖
",전자정부,2006-11-17,사용중
2081,표준어,구내운전,YARD TRANSIT,YRDTRNS,"構內運轉
 [법률정의] (철도차량운전규칙) 정거장내 또는 차량기지 내에서 입환신호에 의하여 열차 또는 차량을 운전하는 것.
",철도정책,2006-11-17,사용중
2082,표준어,구내통신선로설비,PREMISES COMMUNICATION LINE FACILITIES,PCLF,"構內通信線路設備
 [법률정의] (전기통신설비의 기술기준에 관한 규칙) 국선접속설비를 제외한 구내 상호간 및 구내?외간의 통신을 위하여 구내에 설치하는 케이블, 선조, 이상전압전류에 대한 보호장치 및 전주와 이를 수용하는 관로, 통신터널, 배관, 배선반, 단자 등과 그 부대설비.
",통신서비스 고도화,2006-11-17,사용중
2083,표준어,구독자,READER,READER,"購讀者
 책이나 신문, 잡지 따위를 사서 읽는 사람
",전자정부,2006-11-17,사용중
2084,표준어,구두,WORD OF MOUTH,MTHWRD,"마주 대하여 입으로 하는 말.

",전자정부,2010-02-25,사용중
2085,표준어,구두신고제,ORAL DECLARATION SYSTEM,ORDESYS,"공항으로 입국하는 여행자가 신고대상물품이 없는 경우 신고대상물품이 없음을 구두로 신고하는 제도

",관세 행정지원,2010-03-04,사용중
2086,표준어,구류,PENAL DETENTION,PNLDTENT,"句留
 죄인을 1일 이상 30일 미만의 기간 동안 교도소나 경찰서 유치장에 가두어 자유를 속박하는 일.
",국민생활안전,2006-11-17,사용중
2087,표준어,구름,CLOUD,CLOUD,"대기 중의 작은 물방울이나 얼음 알갱이가 모여 하늘에 떠 있는 것을 말한다. 이 입자들 중에는 물이나 얼음 입자 이외에 매연이나 먼지와 같은 고체 입자들도 포함되어 있다. 이때 구름이 지면과 접하여 있을 때는 안개라고 부른다.

",기상관측,2007-12-27,사용중
2088,표준어,구리,COPPER ,COPPR,"구리1[명사]전연성(展延性)과 가공성이 뛰어난 적색 광택의 금속 원소. 자연동(自然銅) 또는 화합물로서 산출됨. 은(銀) 다음가는 열(熱) 및 전기의 양도체(良導體)로서 널리 쓰임. 동(銅). 적금(赤金). [Cu/29/63.546]

",전자정부,2008-11-19,사용중
2089,표준어,구매,PURCHASE,PURCHS,"購買
 (물건을) 사들임. 구입.
",조달물자 공급,2006-11-17,사용중
2090,표준어,구매권,PURCHASE RIGHTS,PURCHSRT,"購買券
 물건을 살 수 있는 표. 
[법률정의] (한국마사회법) 경마를 개최할 때에 승마투표권의 구매편의를 위하여 한국마사회가 발행하는 금액?고유번호 및 소멸시효 등을 기재한 승마투표권과 교환할 수 있는 표권.
",전자정부,2006-11-17,사용중
2091,표준어,구매대리인,BUYING AGENT ,BUYAGNT,"수입업자를 대신해 물품구입을 하는 자

",관세 행정지원,2010-03-04,사용중
2092,표준어,구매서,PURCHASE SHEET,PURCHSHT,"購買書
 물건을 사겠다는 서류
",전자정부,2006-11-17,사용중
2093,표준어,구매자,PURCHASER,PURCHSR,"購買者
 물건을 사는 사람 또는 업체.
",전자정부,2006-11-17,사용중
2094,표준어,구매자관리대장,BUYER LOG,BUYLOG,"구매자의 거래내역등을 관리하기 위한 서류철

",관세 행정지원,2010-03-04,사용중
2095,표준어,구매주문서,PURCHASE ORDER,PURCORD,"Puchase Note라고도 하며 Ode Sheet와 같은 뜻으로 사용되는데 통상 매매계약 성립후 그 내용을 확인하기 위하여 수입상이 작성하여 수출상에게 송부하는 것이 일반적임. 

",관세 행정지원,2010-04-12,사용중
2096,표준어,구매처,PURCHASING OFFICE,PURCHSOFC,"購買處
 보급품이나 용역을 구매하는 시설이나 부서.
",전자정부,2006-11-17,사용중
2097,표준어,구매한도액,PURCHASE LIMIT,PURLIMT,"구매에 있어서 상한선을 정한 것

",관세 행정지원,2010-03-04,사용중
2098,표준어,구명,RESCUING,RESC,"구ː명(救命)[명사][하다형 타동사][되다형 자동사]사람의 목숨을 구함.

",전자정부,2008-11-19,사용중
2099,표준어,구분,SECTION,SE,"區分
 일정한 기준에 따라 따로 따로의 상태가 되게 하는 것. 분류보다 단순한 구별이며 인스턴스의 값이 적고 명료함.
[법률정의] (동물용의약품등의제조업?수입자와판매업의시설기준령) 서로 붙어있지 아니하고 떨어져 있는 상태로서 구별하여 관리하는 것.
",산림생태계보전,2006-11-17,사용중
2100,표준어,구분내용,DIVISIONS,DIV,"일정한 기준에 따라 따로 따로의 상태가 되게 하는 내용

",전자정부,2009-12-29,사용중
2101,표준어,구분등기,REGISTRATION OF PARTITION,RGSTPRT,"區分登記
 1동의 건물에 각각 독립하여 1개의 건물이 될 수 있는 부분이 수개 있는 경우 그의 각 부분을 양도하거나 그 부분만을 임대하였을 때 이에 대응한 소유권 이전등기나 임차권 설정등기를 하기 위하여는 앞서 열거한 그 건물을 수개의 건물로 하는 등기.
",전자정부,2006-11-17,사용중
2102,표준어,구분소유,PARTITIONED OWNERSHIP,PRTOWN,"區分所有
 수인이 1동의 건물을 분할하거나 구분하여 각각 그 일부에 대하여 소유권을 갖고 있는 것.
",주택정책,2006-11-17,사용중
2103,표준어,구분소유권,DIVIDED OWNERSHIP,DDWP,"區分所有權
 [법률정의] (집합건물의 소유 및 관리에 관한 법률) 집합건물의 소유 및 관리에 관한 법률 제1조 또는 제1조의2에 규정한 건물부분(제3조제2항 및 제3항의 규정에 의하여 공용부분으로 된 것을 제외한다)을 목적으로 하는 소유권.
",주택정책,2006-11-17,사용중
2104,표준어,구분소유자,PARTITIONED OWNERSHIP PERSON,PRTOWNER,"區分所有者
 [법률정의] (집합건물의 소유 및 관리에 관한 법률) 구분소유권을 가지는 자.
",주택정책,2006-11-17,사용중
2105,표준어,구분자,SEPARATOR,SPRTR,"일정한 기준에 따라 전체를 몇 개로 갈라 나누는 개체.

",전자정부,2010-02-25,사용중
2106,표준어,구분지상권,PARTITIONED SUPERFICIES,PRTSPRF,"區分地上權
 건물이나 공작물(수목은 제외)을 소유하기 위하여 지하 또는 지상의 공간에 대하여 상하의 범위를 정하여 그 공간을 사용하는 물권.
",전자정부,2006-11-17,사용중
2107,표준어,구비,POSSESS,POSES,"具備
 갖추고 있음
",전자정부,2006-11-17,사용중
2108,표준어,구상권,RIGHT TO INDEMNITY,INDMRT,"求償權
 다른 사람을 위하여 그 사람의 빚을 갚은 사람이 다른 연대 채무자나 주된 채무자에게 상환을 요구할 수 있는 권리.
",장병복지,2006-11-17,사용중
2109,표준어,구상무역,COMPENSATION TRADE,COMTRAE,"두나라 사이에 협정을 맺어 일정기간 서로 수출을 균등하게 하여 무역차액을 영으로 만들고 결재자금이 필요없게 하는 무역

",관세 행정지원,2010-03-04,사용중
2110,표준어,구성,COMPOSITION,COMPOSITION,"構成
 몇 가지 부분이나 요소들을 모아서 일정한 전체를 짜 이룸. 또는 그 이룬 결과.
",지방노동 행정,2006-11-17,사용중
2111,표준어,구성비,THE COMPONENT RATIO,CMPNTRT,"[構成比]구조적 비례수

",지방재정,2007-08-27,사용중
2112,표준어,구성원,CONSTITUENT,CONSTNT,"構成員
 어떤 조직이나 단체를 이루고 있는 사람들
[법률정의] (증권관련 집단소송법) 총원을 구성하는 각각의 피해자.
",금융감독,2006-11-17,사용중
2113,표준어,구세,SALVATION,SALV,"구ː세(救世)[명사][하다형 자동사]1.세상 사람을 구제함. 2.불교에서, 중생을 고통에서 구하는 일. 3.기독교에서, 인류를 악마의 굴레와 죄악에서 구하는 일.

",전자정부,2008-11-19,사용중
2114,표준어,구속,DETENTION,DETON,"구속이란 형법에 따른 피고인 또는 피의자의 신체의 자유를 제한하는 대인적 강제처분

",관세 행정지원,2010-03-04,사용중
2115,표준어,구속영장,ARREST WARRANT,ARSTT,"拘束令狀
 피의자의 신체를 구속할 수 있는 명령서.
",법무 및 검찰 행정지원,2006-11-17,사용중
2116,표준어,구역,ZONE,ZONE,"區域
 갈라놓은 지역.
",궁.능.원 보존관리,2006-11-17,사용중
2117,표준어,구역업종,ZONE TYPE OF INDUSTRY,ZNINDSTR,"區域業種
 [법률정의] (자동차운수사업등직권위임규정에의한사무관할에관한건) 전세여객자동차운송사업?택시여객자동차운송사업?구역화물자동차운송사업?특수자동차운송사업과 장의자동차운송사업.
",육상 및 광역 교통정책,2006-11-17,사용중
2118,표준어,구역전기사업,DISTRICT ELECTRIFICATION PROJECT,DLCRJ,"區域電氣事業
 [법률정의] (전기사업법) 대통령령이 정하는 규모 이하의 발전설비를 갖추고 특정한 공급구역의 수요에 응하여 전기를 생산하여 전력시장을 통하지 아니하고 당해 공급구역안의 전기사용자에게 공급함을 주된 목적으로 하는 사업.
",전력산업경쟁력강화 및 전력수급안정,2006-11-17,사용중
2119,표준어,구역전기사업자,DISTRICT ELECTRIFICATION PROJECT PERSON,DTCTR,"區域電氣事業者
 [법률정의] (전기사업법) 제7조제1항의 규정에 의하여 구역전기사업의 허가를 받은 자.
",전력산업경쟁력강화 및 전력수급안정,2006-11-17,사용중
2120,표준어,구영,WARD MANAGEMENT,WRDMNG,"구(區)에서 하는 경영.

",전자정부,2010-02-25,사용중
2121,표준어,구유지,GU LAND,GULND,"구(區)가 소유하는 토지.

",전자정부,2010-02-25,사용중
2122,표준어,구읍면,GU EUP MYEON,GPMN,"區邑面
 지역의 분류단위
",지방행정,2006-11-17,사용중
2123,표준어,구인,JOB OFFER,JO,"[명사] 일할 사람을 구함. ‘사람 구함’으로 순화.

",노동 행정지원,2008-01-07,사용중
2124,동의어,구입,PURCHASE,PURCHS,"購入
 물건을 사들임
",조달물자 공급,2006-11-17,사용중
2125,표준어,구입부품,PURCHASE PART,PCSPRT,"購入部品
 [법률정의] (방산물자의원가계산에관한규칙) 국내에서 구입하는 부품.
",군수관리 및 협력,2006-11-17,사용중
2126,표준어,구입재료,PURCHASE MATERIAL,PCSMTR,"購入材料
 [법률정의] (방산물자의원가계산에관한규칙) 국내에서 구입하는 재료중 관급재료를 제외한 것.
",군수관리 및 협력,2006-11-17,사용중
2127,표준어,구입처지정구매위탁,CLOSED INDENT,CLDINDT,"수입업자가 해외의 상사에게 상품구매를 위탁하는 것을 위탁구매라고 하는데, 이 중 구입처를 지정하는 것 

",관세 행정지원,2010-03-04,사용중
2128,표준어,구전,WORD OF MOUTH ,WRDOM,"구ː전(口傳)[명사][하다형 자동사?하다형 타동사][되다형 자동사]말로 전함, 또는 말로 전해 옴. \n【예】구전하여 온 민요.

",전자정부,2008-11-19,사용중
2129,표준어,구제,RELIEF,RLIF,"救濟
 자연적인 재해나 사회적인 피해를 당하여 어려운 처지에 있는 사람을 도와줌.
",지방노동 행정,2006-11-24,사용중
2130,표준어,구조,STRUCTURE,STRCT,"構造
 어떤 물건이나 조직체 따위의, 전체를 이루고 있는 부분들의 서로 짜인 관계나 그 체계.
",전자정부,2006-11-17,사용중
2131,표준어,구조,RESCUE,RESCUE,"救助
 재난 따위를 당하여 어려운 처지에 빠진 사람을 구하여 줌
[법률정의] (수난구호법) 조난을 당한 사람을 구출하여 응급조치 또는 그 밖의 필요한 것을 제공하고 안전한 장소로 인도하기 위한 활동.
",재난상황 관리,2006-11-17,사용중
2132,표준어,구조내력,STRUCTURE TOLERANCE,STLC,"構造耐力
 [법률정의] (건축물의 구조기준 등에 관한 규칙) 내력부분인 구조부재 및 이와 접하는 부분 등이 견딜 수 있는 응력.
",도시정책,2006-11-17,사용중
2133,표준어,구조대,RESCUE UNIT,RSCUNT,"救助隊
 [법률정의] (수난구호법) 수색 및 구조활동을 신속히 수행할 수 있도록 훈련된 인원으로 편성되고 적절한 장비를 보유한 단위조직.
",해상 경비,2006-11-17,사용중
2134,표준어,구조물,STRUCTURE,STRCTU,"땅속이나 땅 위에 인공적으로 고정시켜 만든 것. [좁은 뜻으로는 건물 이외의 것을 이름.]

",전자정부,2010-02-25,사용중
2135,표준어,구조체,STRUCTURE,STRCTR,"構造體
 [법률정의] (도시철도차량안전기준에관한규칙;철도차량 안전기준에 관한 규칙) 차체를 구성하고 있는 차체 프레임, 측면 구조틀, 지붕구조 등 주요 구조부.
",전자정부,2006-11-17,사용중
2136,동의어,구주,EUROPE,EUROPE,"歐洲
 육대주의 하나. 아시아의 서북부에 돌출한 반도 모양의 대륙과 이에 딸린 여러 섬으로 이루어짐.
",구주지역국가와의 우호협력 증진,2006-11-24,사용중
2137,표준어,구직,JOB HUNTING,JBHNT,"[명사] 일정한 직업을 찾음. ‘일자리를 구함’으로 순화

",노동 행정지원,2008-01-04,사용중
2138,표준어,구청,WARD OFFICE,WRDOFC,"구의 행정 사무를 맡아보는 관청.

",전자정부,2010-02-25,사용중
2139,표준어,구청장,DISTRICT LEADER,DSTLDR,"區廳長
 구(區)의 행정 사무를 맡아보는 관청의 우두머리.
",전자정부,2006-12-07,사용중
2140,표준어,구체,CONCRETENESS,CNCRTNS,"구체(具體)[명사]사물이 실제로 뚜렷한 모양이나 형태를 갖추고 있는 것. 구상(具象). ↔추상(抽象).

",전자정부,2008-11-19,사용중
2141,표준어,구축,CONSTRUCTION,CNSTC,"構築
 큰 구조물이나 진지 등을 쌓아 올려 만듦.
",학교교육 내실화,2006-11-17,사용중
2142,표준어,구치소,DETENTION HOUSE,DTNHS,"拘置所
 형사 피의자 또는 형사 피고인으로서, 구속 영장에 의하여 구속된 사람을 판결이 내려질 때까지 수용하는 시설.
",전자정부,2006-12-07,사용중
2143,표준어,구타,BEAT ,BEAT,"구타(毆打)[명사][하다형 타동사]사람을 함부로 때림. \n【예】집단 구타 사건./안면을 구타당하다.

",전자정부,2008-11-19,사용중
2144,표준어,구현,EMBODIMENT,EMBD,"具現
 어떤 사실을 뚜렷한 모양으로 또는 구체적인 모양으로 나타냄.
",농업경영.기술정보화,2006-11-17,사용중
2145,표준어,구형,OLD STYLE,ODSYL,"舊型
 구식의 형 또는 모습
",군수관리 및 협력,2006-11-17,사용중
2146,표준어,구형,SPHERICAL SHAPE,SPHSHP,"球形
 구식 형틀 또는 본새
",군수관리 및 협력,2006-11-17,사용중
2147,표준어,구호금품,ALMS,ALMS,"救護金品
 재해나 재난 따위로 어려움에 처한 사람을 도와주기 위하여 보내는 돈이나 물건
[법률정의] (자연재해대책법) 자연재해를 입은 자에게 이 법에 의하여 지급하는 금전 또는 물품.
",복구지원 관리,2006-11-17,사용중
2148,표준어,구획,COMPARTMENT,CMPRT,"區劃
 토지 따위를 경계를 지어 가름
[법률정의] (동물용의약품등의제조업?수입자와판매업의시설기준령) 칸막이등에 의하여 나뉘어지는 것.
",도시정책,2006-11-17,사용중
2149,표준어,국,YEAST,YEAST,"麴
 [법률정의] (주세법) 전분물질 또는 전분물질과 기타 물료를 섞은 것에 곰팡이류를 번식시킨 것 또는 효소로서 전분물질을 당화시킬 수 있는 것.
",조세정책,2006-11-17,사용중
2150,표준어,국,BUREAU,BURA,"[명사] 업무 조직에서, 부서의 하나. 일반적으로 과(課)나 부(部)의 위이다.

",관세 행정지원,2010-07-30,사용중
2151,표준어,국가,NATION,NATION,"國家
 일정한 영토와 그곳에 사는 일정한 주민들로 이루어져, 주권에 의한 통치 조직을 지니고 있는 사회 집단.
",전자정부,2006-11-17,사용중
2152,표준어,국가계획,COUNTRY PLAN,CTYLN,"國家計劃
 [법률정의] (국토의 계획 및 이용에 관한 법률) 중앙행정기관이 법률에 의하여 수립하거나 국가의 정책적인 목적달성을 위하여 수립하는 계획중 도시관리계획으로 결정하여야 할 사항이 포함된 계획.
",토지정책,2006-11-17,사용중
2153,표준어,국가균형발전,BALANCED NATIONAL DEVELOPMENT,BDLP,"國家均衡發展
 [법률정의] (국가균형발전특별법) 지역간 발전의 기회균등을 촉진하고 지역의 발전역량을 증진함으로써 삶의 질을 향상하고 지속가능한 개발을 도모하여 국가경쟁력을 강화하는 것.
",지역산업 균형발전,2006-11-17,사용중
2154,표준어,국가기간교통망,COUNTRY BASIC TRAFFIC NETWORK,CTCT,"國家基幹交通網
 [법률정의] (교통체계효율화법) 국가기간교통시설이 서로 유기적인 기능을 발휘할 수 있도록 체계적으로 구성한 교통망.
",물류정책,2006-11-17,사용중
2155,표준어,국가기간교통시설,COUNTRY BASIC TRAFFIC EQUIPMENT,CTRRC,"國家基幹交通施設
 [법률정의] (교통체계효율화법) 지역간 간선교통기능을 수행하는 다음 각목의 1에 해당하는 교통시설. 가. 도로법 제11조제1호 및 제2호의 규정에 의한 고속국도 및 일반국도 나. 철도사업법 제2조제1호의 규정에 의한 철도(도시철도법에 의한 도시철도를 제외한다) 다. 항공법 제2조제5호의 규정에 의한 공항 라. 항만법 제2조제2호의 규정에 의한 지정항만중 무역항 마. 기타 대통령령이 정하는 교통시설
",도로정책,2006-11-17,사용중
2156,표준어,국가기록원,NATIONAL ARCHIVES OF KOREA,NAK,"국가기록원

",청사관리,2008-12-16,사용중
2157,표준어,국가기반체계,COUNTRY BASE SYSTEM,CYSYM,"國家基幹體系
 [법률정의] (국가기반체계 보호관련 중앙재난안전대책본부 운영 및 상황관리 규정) 에너지, 정보?통신, 교통?수송, 금융, 산업, 보건?의료, 원자력, 건설?환경, 식?용수 등 그 기능이 마비될 경우 인명과 재산 및 국가경제에 심각한 영향을 미칠 수 있는 물적?인적 체계.
",재난상황 관리,2006-11-17,사용중
2158,표준어,국가기술자격,COUNTRY SKILL QUALIFICATION,CRLLQC,"國家技術資格
 [법률정의] (국가기술자격법) 자격기본법에 따른 국가자격중 산업과 관련이 있는 기술?기능 및 서비스 분야의 자격으로서 국가기술자격법에서 정하는 것.
",직업능력개발,2006-11-17,사용중
2159,표준어,국가기술자격등급,COUNTRY SKILL QUALIFICATION GRADE,CRYKFR,"國家技術資格等級
 [법률정의] (국가기술자격법) 기술인력이 보유한 직무수행능력의 수준에 따라 차등적으로 부여되는 국가기술자격의 단계.
",직업능력개발,2006-11-17,사용중
2160,표준어,국가기술자격종목,COUNTRY SKILL QUALIFICATION ITEM,CSLLM,"國家技術資格種目
 [법률정의] (국가기술자격법) 국가기술자격의 등급을 직종별로 구분한 것으로 국가기술자격 취득의 기본단위.
",직업능력개발,2006-11-17,사용중
2161,표준어,국가기술자격직무분야,COUNTRY SKILL QUALIFICATION DUTY REALM,CYKCDM,"國家技術資格職務分野
 [법률정의] (국가기술자격법) 산업현장에서 요구되는 직무수행능력의 내용에 따라 국가기술자격을 분류한 것으로서 노동부령이 정하는 것.
",직업능력개발,2006-11-17,사용중
2162,표준어,국가대표선수,NATIONAL ATHLETE,NLTHT,"國家代表選手
 [법률정의] (국민체육진흥법 시행령) 국제경기대회(친선경기대회를 제외한다)에 국가의 대표로 파견하기 위하여 대한체육회?대한장애인체육회 또는 경기단체가 선발?확정한 자.
",체육정책,2006-11-17,사용중
2163,표준어,국가방위요소,NATIONAL DEFENSE REQUISITE,NLSQ,"國家防衛要素
 [법률정의] (통합방위법) 통합방위작전의 수행에 필요한 다음 각목의 방위전력 또는 그 지원요소. 가. 국군조직법 제2조의 규정에 의한 국군 나. 경찰청?해양경찰청 및 그 소속기관 다. 국가기관 및 지방자치단체(가목 및 나목의 경우를 제외한다) 라. 향토예비군설치법 제1조의 규정에 의한 향토예비군 마. 민방위기본법 제16조의 규정에 의한 민방위대 바. 제6조의 규정에 의하여 통합방위협의회를 두는 직장
",국방 행정지원,2006-11-17,사용중
2164,표준어,국가배상,STATE COMPENSATION,SCNS,"國家賠償
 국가 또는 공무원이 직무상 개인이나 법인의 권리를 침해하거나 불법 행위로 손해를 입힌 경우에, 그 개인이나 법인이 국가나 공공 단체로부터 받는 배상.
",국방 행정지원,2006-11-17,사용중
2165,표준어,국가보상,STATE INDEMNIFICATION,STTC,"國家補償
 국가나 공공 단체가 국민에게 준 손해나 손실을 배상하거나 보상하는 일.
",전자정부,2006-11-17,사용중
2166,표준어,국가보훈관계법령,NATION THE REWARD OF MERIT RELATION STATUTE,NHWMST,"國家報勳關係法令
 [법률정의] (국가보훈기본법) 국가보훈대상자에 대한 예우 및 지원과 관련된 법령.
",보훈관리,2006-11-17,사용중
2167,표준어,국가보훈대상자,NATION PATRIOT AND VETERAN,NTTTN,"國家報勳對象者
 [법률정의] (국가보훈기본법) 희생?공헌자와 그 유족 또는 가족으로서 국가보훈관계 법령의 적용대상자가 되어 예우 및 지원을 받는 사람.
",보훈관리,2006-11-17,사용중
2168,표준어,국가보훈처,PATRIOTS AND VETERANS ADMINISTRATION AGENCY,PVAA,"國家報勳處
 국가유공자의 예우시책과 참전군인 및 제대군인 지원사업을 시행하는 국무총리 산하의 중앙행정기관.
",보훈 행정지원,2006-11-27,사용중
2169,표준어,국가부담금,NATION ALLOTMENT,NATIONALOTM,"國家負擔金
 [법률정의] (사립학교교직원 연금법) 급여에 소요되는 비용으로 국가가 부담하는 금액.
",장병복지,2006-11-17,사용중
2170,표준어,국가안전보장회의,NATIONAL SECURITY COUNCIL,NSC,"國家安全保障會議
 국가안전보장에 관련되는 정책수립에 관한 대통령 자문기관.
",정책조정,2006-11-27,사용중
2171,표준어,국가자격,COUNTRY QUALIFICATION,CTLF,"國家資格
 [법률정의] (자격기본법) 법령에 의하여 국가가 신설하여 관리?운영하는 자격.
",전자정부,2006-11-17,사용중
2172,표준어,국가자격관리자,COUNTRY QUALIFICATION ADMINISTRATIONIST,CQFNR,"國家資格管理者
 [법률정의] (자격기본법) 당해 국가자격을 규정하고 있는 법령(이하 ""개별법령""이라 한다)이 정하는 바에 의하여 당해 국가자격을 관리?운영하는 자.
",전자정부,2006-11-17,사용중
2173,표준어,국가정보원,NATIONAL INTELLIGENCE SERVICE,NIS,"國家情報院
 국가안전보장에 관련되는 정보?보안 및 범죄수사에 관한 사무를 담당하는 대통령 직속하의 국가 정보기관.
",전자정부,2006-11-27,사용중
2174,표준어,국가정보자료,COUNTRY INFORMATION DATA,CTFMD,"國家情報資料
 [법률정의] (국가정보자료관리규정) 국가정보정책의 수립에 기여할 수 있는 국내외 정치?경제?사회?문화?군사?과학?지지?통신등 각 분야별 기본정보와 각 분야에 영향을 미칠 수 있는 인적?물적 정보등의 내용이 수록된 자료.
",북한정보 분석.관리,2006-11-17,사용중
2175,표준어,국가중요시설,COUNTRY IMPORTANCE EQUIPMENT,CMCQ,"國家重要施設
 [법률정의] (통합방위법) 공공기관, 공항?항만, 주요산업시설등 적에 의하여 점령 또는 파괴되거나 기능이 마비될 경우 국가안보 및 국민생활에 심대한 영향을 미치는 시설.
",국방 행정지원,2006-11-17,사용중
2176,표준어,국가지리정보체계,COUNTRY GEOGRAPHY INFORMATION SYSTEM,CRNYSM,"國家地理情報體系
 [법률정의] (국가지리정보체계의구축및활용등에관한법률) 관리기관이 구축?관리하는 지리정보체계.
",토지정책,2006-11-17,사용중
2177,표준어,국가측정표준,COUNTRY MEASUREMENT STANDARD,CTYNRD,"國家測定標準
 [법률정의] (국가표준기본법) 관련된 양의 다른 표준들에 값을 부여하기 위한 기준으로서 국가적으로 공인된 측정표준.
",산업기술 진흥,2006-11-17,사용중
2178,표준어,국가표준,COUNTRY STANDARD,CYTD,"國家標準
 [법률정의] (국가표준기본법) 국가사회의 모든 분야에서 정확성, 합리성 및 국제성 제고를 위하여 국가에서 통일적으로 준용하는 과학적?기술적 공공기준으로서 측정표준, 참조표준, 성문표준등 이 법에서 규정하는 모든 표준.
",산업기술 진흥,2006-11-17,사용중
2179,표준어,국가필수국제선박,COUNTRY INDISPENSABLE INTERNATIONAL SHIP,CSPNP,"國家必須國際船舶
 [법률정의] (국제선박등록법) 전시?사변 또는 이에 준하는 비상시(이하 ""비상사태""라 한다)에 국민경제에 긴요한 물자와 군수물자를 수송하기 위한 국제선박으로서 국제선박등록법 제8조제1항의 규정에 의하여 지정된 선박.
",항만운영 및 해상운송,2006-11-17,사용중
2180,표준어,국경,BORDER,BODE,"[명사] 나라와 나라의 영역을 가르는 경계.

",수출입통관,2010-08-17,사용중
2181,표준어,국경인도가격,DELIVERED AT FRONTIER,DELAFNR,"매도인이 국경의 지정장소에서 물품을 매수인에게 인도하며, 매수인은 수입허가를 받는다. 가격조건 뒤에 상품이 인수도되는 국경의 특정장소를 기재한다. 만일 판문점을 경우하여 북한과 수출입 한다면 DAF Pannumjum과 같이 표시할 수 있다

",관세 행정지원,2010-03-04,사용중
2182,표준어,국경출입차량,VEHICLES PASSING ACROSS BORDER,VPAB,"수출입화물의 운송이나 여행객 수송 등의 목적으로 국가의 경계선(국경)을  출입하는 차량

",밀수감시단속,2010-04-09,사용중
2183,표준어,국경하천운항선박,VESSELS NAVIGATING ON RIVER BORDERS ,VNRB,"국경하천만을 운항하는 내국선박을 말하며, 이 경우 외국무역선에 관한 규정을 적용하지 않는다. 

",관세 행정지원,2010-03-04,사용중
